gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
SUMO3	cerebral-cortex	glial-cells	Low	Supported
IMMP2L	cerebral-cortex	glial-cells	Medium	Approved
JAG2	cerebral-cortex	glial-cells	Low	Approved
BRI3BP	cerebral-cortex	glial-cells	Medium	Approved
DGAT1	cerebral-cortex	glial-cells	Low	Enhanced
CA13	cerebral-cortex	glial-cells	Medium	Enhanced
BRF1	cerebral-cortex	glial-cells	Medium	Approved
NELFA	cerebral-cortex	glial-cells	Medium	Supported
HSF1	cerebral-cortex	glial-cells	Medium	Supported
HIST1H2BL	cerebral-cortex	glial-cells	High	Supported
NOMO2	cerebral-cortex	glial-cells	Medium	Approved
SIGIRR	cerebral-cortex	glial-cells	Low	Approved
NRBP2	cerebral-cortex	glial-cells	Low	Approved
PRPF39	cerebral-cortex	glial-cells	Medium	Approved
GALNT17	cerebral-cortex	glial-cells	Low	Approved
ZBTB37	cerebral-cortex	glial-cells	Low	Approved
SOCS1	cerebral-cortex	glial-cells	Low	Approved
GAS2L1	cerebral-cortex	glial-cells	Medium	Approved
PRKN	cerebral-cortex	glial-cells	Medium	Enhanced
MAPK11	cerebral-cortex	glial-cells	Medium	Approved
MRPL30	cerebral-cortex	glial-cells	Medium	Approved
TARSL2	cerebral-cortex	glial-cells	High	Approved
SMYD3	cerebral-cortex	glial-cells	Medium	Approved
PARPBP	cerebral-cortex	glial-cells	Medium	Approved
IRF7	cerebral-cortex	glial-cells	High	Approved
SV2B	cerebral-cortex	glial-cells	Low	Approved
PRKG1	cerebral-cortex	glial-cells	Low	Enhanced
OLFML2A	cerebral-cortex	glial-cells	Low	Approved
SP1	cerebral-cortex	glial-cells	Medium	Supported
PSMD13	cerebral-cortex	glial-cells	Low	Approved
PBX1	cerebral-cortex	glial-cells	Medium	Supported
UBE2L3	cerebral-cortex	glial-cells	Low	Approved
BRWD1	cerebral-cortex	glial-cells	Medium	Approved
ZBTB3	cerebral-cortex	glial-cells	Low	Approved
DRG1	cerebral-cortex	glial-cells	Medium	Enhanced
ANKFY1	cerebral-cortex	glial-cells	Low	Approved
C11orf87	cerebral-cortex	glial-cells	Medium	Approved
DMWD	cerebral-cortex	glial-cells	Medium	Approved
PCYT2	cerebral-cortex	glial-cells	Low	Enhanced
BCAP31	cerebral-cortex	glial-cells	Low	Supported
NPIPB4	cerebral-cortex	glial-cells	Medium	Approved
LAMP1	cerebral-cortex	glial-cells	High	Supported
NKAIN3	cerebral-cortex	glial-cells	Medium	Enhanced
NDUFA13	cerebral-cortex	glial-cells	Medium	Supported
AGBL4	cerebral-cortex	glial-cells	Low	Approved
CYP2R1	cerebral-cortex	glial-cells	Low	Approved
PIP5K1C	cerebral-cortex	glial-cells	Medium	Approved
WWOX	cerebral-cortex	glial-cells	Low	Approved
SAPCD2	cerebral-cortex	glial-cells	Low	Approved
SOWAHB	cerebral-cortex	glial-cells	Medium	Approved
BLOC1S4	cerebral-cortex	glial-cells	High	Approved
KLHL32	cerebral-cortex	glial-cells	Medium	Enhanced
MKL2	cerebral-cortex	glial-cells	High	Enhanced
BACE1	cerebral-cortex	glial-cells	Low	Approved
THBS2	cerebral-cortex	glial-cells	Low	Approved
RXRA	cerebral-cortex	glial-cells	Medium	Supported
ZNF75D	cerebral-cortex	glial-cells	High	Supported
KPNA4	cerebral-cortex	glial-cells	Low	Enhanced
TMEM222	cerebral-cortex	glial-cells	Low	Approved
SEPT10	cerebral-cortex	glial-cells	Low	Enhanced
GPATCH8	cerebral-cortex	glial-cells	Medium	Approved
NF2	cerebral-cortex	glial-cells	High	Supported
KATNA1	cerebral-cortex	glial-cells	Low	Approved
ARAP1	cerebral-cortex	glial-cells	Low	Approved
ZFP91	cerebral-cortex	glial-cells	High	Approved
BCDIN3D	cerebral-cortex	glial-cells	Medium	Approved
LYRM7	cerebral-cortex	glial-cells	Medium	Approved
ZSCAN30	cerebral-cortex	glial-cells	High	Approved
HEXIM1	cerebral-cortex	glial-cells	Medium	Supported
ZDHHC17	cerebral-cortex	glial-cells	High	Approved
PPARA	cerebral-cortex	glial-cells	High	Supported
ENTPD5	cerebral-cortex	glial-cells	Low	Enhanced
NAP1L1	cerebral-cortex	glial-cells	Low	Approved
CMC1	cerebral-cortex	glial-cells	Low	Approved
SHTN1	cerebral-cortex	glial-cells	Medium	Enhanced
TSPYL4	cerebral-cortex	glial-cells	Low	Approved
RSBN1L	cerebral-cortex	glial-cells	Low	Approved
LUZP2	cerebral-cortex	glial-cells	Medium	Enhanced
CHP1	cerebral-cortex	glial-cells	Low	Approved
PTMA	cerebral-cortex	glial-cells	Low	Approved
SIRT7	cerebral-cortex	glial-cells	Medium	Approved
USP7	cerebral-cortex	glial-cells	Medium	Approved
C17orf97	cerebral-cortex	glial-cells	Low	Approved
ZKSCAN4	cerebral-cortex	glial-cells	Medium	Approved
TCEA1	cerebral-cortex	glial-cells	Low	Approved
NHEJ1	cerebral-cortex	glial-cells	Medium	Approved
SECISBP2	cerebral-cortex	glial-cells	Medium	Approved
SEMA4D	cerebral-cortex	glial-cells	Medium	Approved
MCRS1	cerebral-cortex	glial-cells	High	Supported
HIST1H1C	cerebral-cortex	glial-cells	High	Supported
EIF4EBP1	cerebral-cortex	glial-cells	Low	Supported
FAM122A	cerebral-cortex	glial-cells	Medium	Approved
LDLRAD2	cerebral-cortex	glial-cells	Low	Approved
CYHR1	cerebral-cortex	glial-cells	Medium	Approved
UBQLN2	cerebral-cortex	glial-cells	High	Enhanced
MAPK12	cerebral-cortex	glial-cells	Low	Enhanced
AGRN	cerebral-cortex	glial-cells	Low	Approved
TMPPE	cerebral-cortex	glial-cells	Low	Approved
LAMTOR4	cerebral-cortex	glial-cells	High	Enhanced
PRKAR1B	cerebral-cortex	glial-cells	Low	Approved
TUBB4B	cerebral-cortex	glial-cells	Low	Enhanced
ZNF559	cerebral-cortex	glial-cells	Low	Approved
GTF2F2	cerebral-cortex	glial-cells	Medium	Supported
H3F3C	cerebral-cortex	glial-cells	High	Approved
H2AFX	cerebral-cortex	glial-cells	High	Supported
C19orf54	cerebral-cortex	glial-cells	Low	Approved
NBR1	cerebral-cortex	glial-cells	High	Approved
NDOR1	cerebral-cortex	glial-cells	Medium	Approved
SUMO2	cerebral-cortex	glial-cells	Low	Supported
NANOS1	cerebral-cortex	glial-cells	Low	Approved
RTL6	cerebral-cortex	glial-cells	Low	Approved
S100A16	cerebral-cortex	glial-cells	Low	Enhanced
UROS	cerebral-cortex	glial-cells	Low	Approved
FAM221A	cerebral-cortex	glial-cells	High	Enhanced
RBM34	cerebral-cortex	glial-cells	Medium	Approved
SLX4	cerebral-cortex	glial-cells	Medium	Approved
RPL14	cerebral-cortex	glial-cells	Medium	Approved
NELFB	cerebral-cortex	glial-cells	Low	Supported
ALKBH2	cerebral-cortex	glial-cells	Low	Approved
APOD	cerebral-cortex	glial-cells	High	Enhanced
H1F0	cerebral-cortex	glial-cells	High	Supported
LITAF	cerebral-cortex	glial-cells	Low	Approved
SF3B3	cerebral-cortex	glial-cells	Medium	Supported
JPT1	cerebral-cortex	glial-cells	Medium	Approved
S100A13	cerebral-cortex	glial-cells	Medium	Approved
TSPYL1	cerebral-cortex	glial-cells	High	Approved
FHIT	cerebral-cortex	glial-cells	Medium	Enhanced
ZKSCAN3	cerebral-cortex	glial-cells	Medium	Approved
RRP7A	cerebral-cortex	glial-cells	Medium	Approved
LIN54	cerebral-cortex	glial-cells	Low	Approved
FAM53B	cerebral-cortex	glial-cells	High	Approved
GSPT2	cerebral-cortex	glial-cells	Low	Approved
HMGB1	cerebral-cortex	glial-cells	High	Supported
PTPRT	cerebral-cortex	glial-cells	Low	Approved
CCDC189	cerebral-cortex	glial-cells	Low	Approved
AKR1C3	cerebral-cortex	glial-cells	Medium	Enhanced
FAT4	cerebral-cortex	glial-cells	Medium	Approved
MPHOSPH8	cerebral-cortex	glial-cells	High	Enhanced
SRGAP3	cerebral-cortex	glial-cells	Low	Enhanced
FAM217B	cerebral-cortex	glial-cells	Medium	Approved
TUBB	cerebral-cortex	glial-cells	Low	Enhanced
LCOR	cerebral-cortex	glial-cells	Medium	Approved
SUPT5H	cerebral-cortex	glial-cells	Low	Supported
SUPT3H	cerebral-cortex	glial-cells	Medium	Enhanced
NIF3L1	cerebral-cortex	glial-cells	Medium	Supported
POM121	cerebral-cortex	glial-cells	Medium	Approved
ZBTB44	cerebral-cortex	glial-cells	High	Approved
ELAVL3	cerebral-cortex	glial-cells	Low	Enhanced
LONP1	cerebral-cortex	glial-cells	Low	Supported
XRCC6	cerebral-cortex	glial-cells	Medium	Enhanced
TSC22D2	cerebral-cortex	glial-cells	Medium	Approved
NPIPB15	cerebral-cortex	glial-cells	High	Supported
ZNF777	cerebral-cortex	glial-cells	High	Approved
PIK3R4	cerebral-cortex	glial-cells	Low	Approved
TRAPPC2	cerebral-cortex	glial-cells	Medium	Approved
ZNF799	cerebral-cortex	glial-cells	Low	Approved
SIAH1	cerebral-cortex	glial-cells	High	Enhanced
NCOR2	cerebral-cortex	glial-cells	Low	Approved
PRPF40A	cerebral-cortex	glial-cells	Low	Approved
GDAP2	cerebral-cortex	glial-cells	High	Approved
ANAPC7	cerebral-cortex	glial-cells	Medium	Approved
TPK1	cerebral-cortex	glial-cells	Low	Approved
AFAP1	cerebral-cortex	glial-cells	Low	Enhanced
CACNA1H	cerebral-cortex	glial-cells	Low	Approved
MYO6	cerebral-cortex	glial-cells	High	Enhanced
HDAC2	cerebral-cortex	glial-cells	High	Supported
ZNF782	cerebral-cortex	glial-cells	Medium	Approved
TCF4	cerebral-cortex	glial-cells	Medium	Approved
TECPR2	cerebral-cortex	glial-cells	High	Enhanced
TLR7	cerebral-cortex	glial-cells	Low	Supported
VKORC1L1	cerebral-cortex	glial-cells	Low	Approved
ZNF418	cerebral-cortex	glial-cells	Low	Approved
GM2A	cerebral-cortex	glial-cells	Medium	Enhanced
HIST1H2AI	cerebral-cortex	glial-cells	High	Supported
MAML3	cerebral-cortex	glial-cells	Medium	Approved
HIST1H2AG	cerebral-cortex	glial-cells	High	Supported
STRN3	cerebral-cortex	glial-cells	Low	Approved
ARID5A	cerebral-cortex	glial-cells	Medium	Approved
PPTC7	cerebral-cortex	glial-cells	Medium	Approved
NHLRC2	cerebral-cortex	glial-cells	Low	Approved
HIST1H2AD	cerebral-cortex	glial-cells	High	Supported
KIAA1211L	cerebral-cortex	glial-cells	Medium	Enhanced
HIST3H2BB	cerebral-cortex	glial-cells	High	Supported
KPNA5	cerebral-cortex	glial-cells	Low	Enhanced
PDLIM7	cerebral-cortex	glial-cells	Low	Approved
AP2A1	cerebral-cortex	glial-cells	Low	Approved
LAGE3	cerebral-cortex	glial-cells	Low	Approved
NPIPB9	cerebral-cortex	glial-cells	Medium	Approved
CXorf40B	cerebral-cortex	glial-cells	Medium	Approved
ZNF420	cerebral-cortex	glial-cells	Medium	Approved
ZNF763	cerebral-cortex	glial-cells	Medium	Approved
HIST1H4C	cerebral-cortex	glial-cells	High	Supported
MAFG	cerebral-cortex	glial-cells	Medium	Approved
IGF2R	cerebral-cortex	glial-cells	Medium	Supported
DYNC1H1	cerebral-cortex	glial-cells	Low	Enhanced
SLC6A17	cerebral-cortex	glial-cells	Medium	Enhanced
ABCB8	cerebral-cortex	glial-cells	Low	Approved
HIST1H3J	cerebral-cortex	glial-cells	High	Approved
SND1	cerebral-cortex	glial-cells	Medium	Enhanced
PSMD12	cerebral-cortex	glial-cells	Low	Approved
NOL4L	cerebral-cortex	glial-cells	Medium	Enhanced
CYSRT1	cerebral-cortex	glial-cells	Low	Approved
TBC1D9B	cerebral-cortex	glial-cells	Low	Approved
HIST1H4J	cerebral-cortex	glial-cells	High	Supported
KANK2	cerebral-cortex	glial-cells	Low	Approved
GTF2E2	cerebral-cortex	glial-cells	Low	Approved
BLM	cerebral-cortex	glial-cells	High	Approved
SVIL	cerebral-cortex	glial-cells	Medium	Approved
TRIM33	cerebral-cortex	glial-cells	Medium	Supported
HIST1H3D	cerebral-cortex	glial-cells	High	Approved
OPALIN	cerebral-cortex	glial-cells	High	Supported
MAP3K5	cerebral-cortex	glial-cells	Medium	Supported
OGDHL	cerebral-cortex	glial-cells	Low	Enhanced
GSTK1	cerebral-cortex	glial-cells	High	Supported
HNRNPAB	cerebral-cortex	glial-cells	High	Approved
STMN3	cerebral-cortex	glial-cells	Low	Enhanced
MYO5A	cerebral-cortex	glial-cells	Low	Enhanced
ATG7	cerebral-cortex	glial-cells	Low	Supported
SIPA1L1	cerebral-cortex	glial-cells	Low	Approved
PIGN	cerebral-cortex	glial-cells	Low	Approved
HHLA3	cerebral-cortex	glial-cells	Low	Approved
HOXA4	cerebral-cortex	glial-cells	Low	Approved
TOPORS	cerebral-cortex	glial-cells	Medium	Supported
ENTPD6	cerebral-cortex	glial-cells	Low	Approved
FAR1	cerebral-cortex	glial-cells	Low	Approved
C5orf42	cerebral-cortex	glial-cells	Medium	Approved
CXorf40A	cerebral-cortex	glial-cells	Low	Approved
MPEG1	cerebral-cortex	glial-cells	Medium	Approved
SPTAN1	cerebral-cortex	glial-cells	Low	Enhanced
PARVA	cerebral-cortex	glial-cells	Low	Approved
RPE	cerebral-cortex	glial-cells	Low	Approved
PHF2	cerebral-cortex	glial-cells	High	Approved
PSAP	cerebral-cortex	glial-cells	Medium	Supported
RPL37A	cerebral-cortex	glial-cells	Medium	Approved
ZNF81	cerebral-cortex	glial-cells	Medium	Approved
TAF13	cerebral-cortex	glial-cells	High	Approved
ATAD3A	cerebral-cortex	glial-cells	Low	Approved
FAM118B	cerebral-cortex	glial-cells	High	Approved
HIST4H4	cerebral-cortex	glial-cells	High	Supported
FAM212B	cerebral-cortex	glial-cells	Low	Approved
ZNF44	cerebral-cortex	glial-cells	High	Supported
SGTB	cerebral-cortex	glial-cells	Low	Enhanced
FAM49A	cerebral-cortex	glial-cells	Medium	Approved
MYO1C	cerebral-cortex	glial-cells	Medium	Enhanced
HIST1H2BK	cerebral-cortex	glial-cells	High	Supported
ZNF311	cerebral-cortex	glial-cells	Medium	Approved
PLCG2	cerebral-cortex	glial-cells	Low	Enhanced
FCHSD1	cerebral-cortex	glial-cells	Low	Approved
RPL12	cerebral-cortex	glial-cells	Low	Approved
MPZL1	cerebral-cortex	glial-cells	Medium	Approved
VPS13A	cerebral-cortex	glial-cells	Low	Supported
AKAP17A	cerebral-cortex	glial-cells	Medium	Supported
MRPL42	cerebral-cortex	glial-cells	Medium	Approved
ZNF84	cerebral-cortex	glial-cells	Medium	Approved
NPIPB13	cerebral-cortex	glial-cells	Medium	Approved
HIBCH	cerebral-cortex	glial-cells	Medium	Enhanced
ZNF544	cerebral-cortex	glial-cells	High	Approved
ZNF770	cerebral-cortex	glial-cells	Medium	Approved
NPIPB6	cerebral-cortex	glial-cells	Medium	Approved
MAN1A2	cerebral-cortex	glial-cells	High	Enhanced
SVIP	cerebral-cortex	glial-cells	Medium	Approved
TFDP1	cerebral-cortex	glial-cells	Low	Enhanced
CLEC4C	cerebral-cortex	glial-cells	Medium	Approved
RPS6KL1	cerebral-cortex	glial-cells	Low	Approved
QRICH1	cerebral-cortex	glial-cells	High	Approved
DDX42	cerebral-cortex	glial-cells	High	Approved
SLC29A3	cerebral-cortex	glial-cells	Low	Approved
HELZ	cerebral-cortex	glial-cells	Low	Approved
TMEM116	cerebral-cortex	glial-cells	Low	Approved
PEG3	cerebral-cortex	glial-cells	High	Approved
ASNA1	cerebral-cortex	glial-cells	Low	Approved
SPRED2	cerebral-cortex	glial-cells	Low	Approved
ITSN2	cerebral-cortex	glial-cells	High	Approved
NTRK1	cerebral-cortex	glial-cells	Medium	Approved
ZNF69	cerebral-cortex	glial-cells	Medium	Approved
TXNRD1	cerebral-cortex	glial-cells	Medium	Approved
TPM2	cerebral-cortex	glial-cells	Medium	Approved
YTHDF2	cerebral-cortex	glial-cells	Medium	Approved
ATL1	cerebral-cortex	glial-cells	Medium	Enhanced
TLK1	cerebral-cortex	glial-cells	High	Approved
LRBA	cerebral-cortex	glial-cells	Low	Approved
BAZ1A	cerebral-cortex	glial-cells	Medium	Supported
MDM4	cerebral-cortex	glial-cells	Medium	Approved
NCOA6	cerebral-cortex	glial-cells	Medium	Supported
STK39	cerebral-cortex	glial-cells	Medium	Enhanced
SLC9A6	cerebral-cortex	glial-cells	Low	Enhanced
CEP290	cerebral-cortex	glial-cells	Low	Approved
MT-CO2	cerebral-cortex	glial-cells	Medium	Enhanced
MT-CYB	cerebral-cortex	glial-cells	Low	Enhanced
CTR9	cerebral-cortex	glial-cells	Medium	Supported
MSRB1	cerebral-cortex	glial-cells	Low	Approved
SMURF1	cerebral-cortex	glial-cells	Medium	Approved
CDC42BPB	cerebral-cortex	glial-cells	Medium	Approved
COLGALT2	cerebral-cortex	glial-cells	High	Approved
FAM169A	cerebral-cortex	glial-cells	Low	Enhanced
ZNF830	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM184B	cerebral-cortex	glial-cells	Medium	Approved
MTOR	cerebral-cortex	glial-cells	Low	Approved
ZNF521	cerebral-cortex	glial-cells	Medium	Enhanced
MT-CO1	cerebral-cortex	glial-cells	Medium	Enhanced
SFT2D1	cerebral-cortex	glial-cells	Medium	Approved
CHAMP1	cerebral-cortex	glial-cells	High	Enhanced
ARHGAP11A	cerebral-cortex	glial-cells	Low	Enhanced
HMGN2	cerebral-cortex	glial-cells	Medium	Supported
UBE2J1	cerebral-cortex	glial-cells	Low	Enhanced
OPA1	cerebral-cortex	glial-cells	Low	Supported
MT-ND3	cerebral-cortex	glial-cells	Low	Enhanced
KTI12	cerebral-cortex	glial-cells	Low	Approved
SELENOT	cerebral-cortex	glial-cells	Low	Approved
TOX	cerebral-cortex	glial-cells	Low	Enhanced
CCDC152	cerebral-cortex	glial-cells	Medium	Approved
GRK5	cerebral-cortex	glial-cells	Low	Approved
SMC5	cerebral-cortex	glial-cells	Low	Supported
MT-ND1	cerebral-cortex	glial-cells	Low	Approved
PRMT6	cerebral-cortex	glial-cells	Medium	Approved
TOP1	cerebral-cortex	glial-cells	High	Supported
PRC1	cerebral-cortex	glial-cells	Medium	Enhanced
L1CAM	cerebral-cortex	glial-cells	Low	Enhanced
SREBF2	cerebral-cortex	glial-cells	Medium	Approved
POU3F3	cerebral-cortex	glial-cells	Low	Enhanced
RASGEF1A	cerebral-cortex	glial-cells	Medium	Enhanced
SPOUT1	cerebral-cortex	glial-cells	Low	Approved
KIAA0753	cerebral-cortex	glial-cells	Low	Enhanced
DCLRE1A	cerebral-cortex	glial-cells	Low	Approved
NOS1AP	cerebral-cortex	glial-cells	Low	Approved
PJA2	cerebral-cortex	glial-cells	Medium	Supported
SGMS1	cerebral-cortex	glial-cells	Low	Approved
INF2	cerebral-cortex	glial-cells	Low	Approved
EFCAB2	cerebral-cortex	glial-cells	Medium	Approved
TATDN3	cerebral-cortex	glial-cells	Low	Approved
EEF1AKMT2	cerebral-cortex	glial-cells	Low	Approved
DDO	cerebral-cortex	glial-cells	Low	Enhanced
PLPP4	cerebral-cortex	glial-cells	Low	Approved
HIST2H3C	cerebral-cortex	glial-cells	High	Approved
HIST2H2AA3	cerebral-cortex	glial-cells	High	Supported
HIST2H2BF	cerebral-cortex	glial-cells	High	Supported
HIST2H3PS2	cerebral-cortex	glial-cells	High	Approved
HIST2H3A	cerebral-cortex	glial-cells	High	Approved
GDI1	cerebral-cortex	glial-cells	Medium	Enhanced
PCMTD2	cerebral-cortex	glial-cells	Low	Approved
RPA4	cerebral-cortex	glial-cells	Low	Approved
TRAF3IP1	cerebral-cortex	glial-cells	Low	Approved
GIGYF2	cerebral-cortex	glial-cells	Low	Approved
RUFY2	cerebral-cortex	glial-cells	Low	Approved
PHACTR4	cerebral-cortex	glial-cells	Medium	Approved
C10orf128	cerebral-cortex	glial-cells	Low	Approved
NPY4R	cerebral-cortex	glial-cells	Low	Approved
GPRIN2	cerebral-cortex	glial-cells	Low	Approved
DAXX	cerebral-cortex	glial-cells	Low	Enhanced
BMPR2	cerebral-cortex	glial-cells	Low	Approved
TCEA3	cerebral-cortex	glial-cells	Medium	Approved
PFDN6	cerebral-cortex	glial-cells	Low	Enhanced
RING1	cerebral-cortex	glial-cells	High	Supported
RXRB	cerebral-cortex	glial-cells	High	Supported
HLA-DMA	cerebral-cortex	glial-cells	Low	Enhanced
PSMB8	cerebral-cortex	glial-cells	Low	Enhanced
HLA-DRA	cerebral-cortex	glial-cells	Medium	Enhanced
PBX2	cerebral-cortex	glial-cells	Low	Supported
AGPAT1	cerebral-cortex	glial-cells	High	Approved
SMIM5	cerebral-cortex	glial-cells	High	Approved
ZBTB12	cerebral-cortex	glial-cells	Medium	Approved
SDHD	cerebral-cortex	glial-cells	Low	Approved
LAYN	cerebral-cortex	glial-cells	Low	Approved
HSPA1A	cerebral-cortex	glial-cells	Low	Supported
LSM2	cerebral-cortex	glial-cells	Medium	Supported
VARS	cerebral-cortex	glial-cells	High	Approved
VWA7	cerebral-cortex	glial-cells	Medium	Approved
CSNK2B	cerebral-cortex	glial-cells	Medium	Approved
GPANK1	cerebral-cortex	glial-cells	High	Approved
BAG6	cerebral-cortex	glial-cells	Low	Enhanced
AIF1	cerebral-cortex	glial-cells	Low	Enhanced
ZNF814	cerebral-cortex	glial-cells	Low	Approved
POU5F1	cerebral-cortex	glial-cells	Medium	Approved
DHX16	cerebral-cortex	glial-cells	Medium	Supported
MRPS18B	cerebral-cortex	glial-cells	Medium	Supported
ABCF1	cerebral-cortex	glial-cells	Low	Approved
DDR1	cerebral-cortex	glial-cells	Medium	Approved
ZNF616	cerebral-cortex	glial-cells	Medium	Approved
PPP1R11	cerebral-cortex	glial-cells	Low	Approved
MOG	cerebral-cortex	glial-cells	Medium	Enhanced
TRIM27	cerebral-cortex	glial-cells	Low	Approved
ATXN2	cerebral-cortex	glial-cells	Medium	Enhanced
TCTN1	cerebral-cortex	glial-cells	Medium	Approved
MZT1	cerebral-cortex	glial-cells	Low	Approved
PCDHA5	cerebral-cortex	glial-cells	Medium	Approved
SLC35B4	cerebral-cortex	glial-cells	Low	Approved
ZBTB10	cerebral-cortex	glial-cells	Medium	Enhanced
SARNP	cerebral-cortex	glial-cells	Low	Supported
IPO7	cerebral-cortex	glial-cells	Low	Approved
MT1A	cerebral-cortex	glial-cells	Medium	Approved
EXOC3L4	cerebral-cortex	glial-cells	Low	Approved
NAP1L4	cerebral-cortex	glial-cells	Low	Approved
TMSB4X	cerebral-cortex	glial-cells	Low	Approved
CPT1B	cerebral-cortex	glial-cells	Low	Approved
SMN2	cerebral-cortex	glial-cells	High	Supported
HMGN1	cerebral-cortex	glial-cells	High	Supported
EIF3CL	cerebral-cortex	glial-cells	High	Supported
CRYZL1	cerebral-cortex	glial-cells	Medium	Approved
OLIG2	cerebral-cortex	glial-cells	Medium	Enhanced
RNPS1	cerebral-cortex	glial-cells	Low	Approved
NYNRIN	cerebral-cortex	glial-cells	Medium	Approved
DNAJC19	cerebral-cortex	glial-cells	Medium	Approved
JPT2	cerebral-cortex	glial-cells	Low	Approved
KRTAP27-1	cerebral-cortex	glial-cells	Low	Approved
RAB12	cerebral-cortex	glial-cells	High	Approved
HACD2	cerebral-cortex	glial-cells	Low	Approved
SACM1L	cerebral-cortex	glial-cells	Medium	Approved
C17orf51	cerebral-cortex	glial-cells	Low	Enhanced
ZNF580	cerebral-cortex	glial-cells	Low	Approved
NUP62	cerebral-cortex	glial-cells	Low	Supported
SCAF8	cerebral-cortex	glial-cells	High	Enhanced
CRIP1	cerebral-cortex	glial-cells	Low	Approved
ASIC3	cerebral-cortex	glial-cells	Medium	Enhanced
CHUK	cerebral-cortex	glial-cells	Medium	Approved
GSTM2	cerebral-cortex	glial-cells	Low	Approved
COG8	cerebral-cortex	glial-cells	Medium	Approved
ERV3-1	cerebral-cortex	glial-cells	Low	Enhanced
SYNJ2BP	cerebral-cortex	glial-cells	Low	Approved
ARL2	cerebral-cortex	glial-cells	Low	Supported
RBMXL1	cerebral-cortex	glial-cells	Medium	Supported
SRA1	cerebral-cortex	glial-cells	Medium	Approved
DNAJC9	cerebral-cortex	glial-cells	Low	Supported
VDAC1	cerebral-cortex	glial-cells	Low	Supported
LBH	cerebral-cortex	glial-cells	High	Approved
PPP1CB	cerebral-cortex	glial-cells	Medium	Supported
SLC35F6	cerebral-cortex	glial-cells	Medium	Approved
RPS29	cerebral-cortex	glial-cells	Low	Approved
ATP6V1G2	cerebral-cortex	glial-cells	Low	Enhanced
ZNF134	cerebral-cortex	glial-cells	Medium	Supported
EMP2	cerebral-cortex	glial-cells	Medium	Approved
KCTD11	cerebral-cortex	glial-cells	Low	Approved
CSNK1E	cerebral-cortex	glial-cells	Medium	Approved
GANC	cerebral-cortex	glial-cells	High	Approved
